Name	ID	Date	Time		Latitude	Longitude	Speed
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	23:00		47.629407	07.559253	0.56
Onissoi	401776	1/10/2019	00:00		47.631572	07.556550	3.15
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	00:00		47.630953	07.557388	0
Odaline	401778	1/10/2019	00:00		47.631320	07.556858	0.37
Odissa	401777	1/10/2019	00:00		47.631622	07.556425	0.19
Onissoi	401776	1/10/2019	01:00		47.632450	07.555312	1.67
Odissa	401777	1/10/2019	01:00		47.631870	07.555360	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	01:00		47.631895	07.556250	0.56
Odaline	401778	1/10/2019	01:00		47.632097	07.555568	0.56
Onissoi	401776	1/10/2019	02:00		47.631665	07.555772	0.37
Odaline	401778	1/10/2019	02:00		47.632185	07.554918	0.74
Odissa	401777	1/10/2019	02:00		47.631617	07.555105	2.22
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	02:00		47.631373	07.556408	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	03:00		47.630582	07.557002	0.56
Odaline	401778	1/10/2019	03:00		47.630947	07.557188	0.74
Odissa	401777	1/10/2019	03:00		47.630667	07.556720	0.37
Onissoi	401776	1/10/2019	03:00		47.630223	07.557445	0.74
TERMINATED - 401775	401775	1/10/2019	03:01		47.621940	07.535152	1.48
Odissa	401777	1/10/2019	04:00		47.632662	07.555677	0.19
Onissoi	401776	1/10/2019	04:00		47.632168	07.555693	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	04:00		47.630375	07.558518	0.56
Odaline	401778	1/10/2019	04:00		47.632290	07.555960	0.19
TERMINATED - 401775	401775	1/10/2019	04:01		47.621747	07.535155	0.37
Onissoi	401776	1/10/2019	05:00		47.630938	07.556525	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	05:00		47.631257	07.556440	1.48
Odissa	401777	1/10/2019	05:00		47.630512	07.555130	0.56
Odaline	401778	1/10/2019	05:00		47.631098	07.556418	2.96
TERMINATED - 401775	401775	1/10/2019	05:00		47.621750	07.535268	0.74
Odissa	401777	1/10/2019	06:00		47.629615	07.557990	0.93
Odaline	401778	1/10/2019	06:00		47.628768	07.558017	0.37
Onissoi	401776	1/10/2019	06:00		47.628960	07.558225	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	06:00		47.629412	07.557920	0.93
TERMINATED - 401775	401775	1/10/2019	06:00		47.622158	07.535352	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	07:00		47.630137	07.557052	0.74
