Name	ID	Date	Time		Latitude	Longitude		Speed
 TERMINATED - 401773	401773	1/12/2019	14:00		47.630705	07.560482		0.19
TERMINATED - 401770	401770	1/12/2019	15:00		47.630910	07.560960		0.74
TERMINATED - 401771	401771	1/12/2019	15:00		47.630390	07.560392		0.19
 TERMINATED - 401773	401773	1/12/2019	15:00		47.630930	07.560800		0.56
TERMINATED - 401771	401771	1/12/2019	16:00		47.630733	07.560050		0.56
 TERMINATED - 401773	401773	1/12/2019	16:00		47.630512	07.560793		0.56
TERMINATED - 401770	401770	1/12/2019	16:00		47.630983	07.560473		0.56
TERMINATED - 401770	401770	1/12/2019	17:00		47.630243	07.560858		0.19
TERMINATED - 401771	401771	1/12/2019	17:00		47.630318	07.560922		0.19
 TERMINATED - 401773	401773	1/12/2019	17:00		47.630302	07.560803		0.19
TERMINATED - 401770	401770	1/12/2019	18:00		47.630373	07.560882		0.37
 TERMINATED - 401773	401773	1/12/2019	18:00		47.630348	07.560938		0.93
TERMINATED - 401771	401771	1/12/2019	18:00		47.630597	07.560757		0.37
TERMINATED - 401771	401771	1/12/2019	19:00		47.630522	07.560942		0.19
 TERMINATED - 401773	401773	1/12/2019	19:00		47.629850	07.561068		0.56
TERMINATED - 401770	401770	1/12/2019	19:00		47.629867	07.561103		0.74
TERMINATED - 401770	401770	1/12/2019	20:00		47.630405	07.560890		0
 TERMINATED - 401773	401773	1/12/2019	20:00		47.630320	07.560577		0.37
TERMINATED - 401771	401771	1/12/2019	20:00		47.630297	07.561012		0.74
 TERMINATED - 401773	401773	1/12/2019	21:00		47.630288	07.560698		1.11
TERMINATED - 401770	401770	1/12/2019	21:00		47.630523	07.561028		0.19
TERMINATED - 401771	401771	1/12/2019	21:01		47.630473	07.560863		1.11
 TERMINATED - 401773	401773	1/12/2019	22:00		47.631212	07.559560		0.37
TERMINATED - 401770	401770	1/12/2019	22:00		47.631648	07.558993		1.11
TERMINATED - 401771	401771	1/12/2019	22:00		47.631540	07.558862		1.11
TERMINATED - 401770	401770	1/12/2019	23:00		47.630648	07.560837		0.56
 TERMINATED - 401773	401773	1/12/2019	23:00		47.630328	07.560783		0.37
TERMINATED - 401771	401771	1/12/2019	23:01		47.629663	07.532858		0.56
TERMINATED - 401770	401770	1/13/2019	00:00		47.630532	07.561588		0.56
TERMINATED - 401771	401771	1/13/2019	00:00		47.630368	07.560985		0.56
 TERMINATED - 401773	401773	1/13/2019	00:00		47.630418	07.560723		0.19
TERMINATED - 401771	401771	1/13/2019	01:00		47.631165	07.560797		1.48
TERMINATED - 401770	401770	1/13/2019	01:00		47.630505	07.560908		0.37
 TERMINATED - 401773	401773	1/13/2019	01:00		47.631020	07.560727		0.56
TERMINATED - 401771	401771	1/13/2019	02:00		47.631808	07.560183		0.74
TERMINATED - 401770	401770	1/13/2019	02:00		47.631290	07.561322		0.37
 TERMINATED - 401773	401773	1/13/2019	02:00		47.631453	07.559857		1.48
 TERMINATED - 401773	401773	1/13/2019	03:00		47.630927	07.559578		0.56
TERMINATED - 401771	401771	1/13/2019	03:00		47.631642	07.559872		0.56
TERMINATED - 401770	401770	1/13/2019	03:00		47.631595	07.560127		0.37
TERMINATED - 401771	401771	1/13/2019	04:00		47.628638	07.560478		1.3
TERMINATED - 401770	401770	1/13/2019	04:00		47.628430	07.560575		0.19
 TERMINATED - 401773	401773	1/13/2019	04:00		47.628402	07.560462		0.37
TERMINATED - 401771	401771	1/13/2019	05:00		47.628245	07.558142		0.19
 TERMINATED - 401773	401773	1/13/2019	05:00		47.628032	07.558252		0.74
TERMINATED - 401770	401770	1/13/2019	05:00		47.628070	07.559608		0.74
 TERMINATED - 401773	401773	1/13/2019	06:00		47.631472	07.556552		0.19
TERMINATED - 401771	401771	1/13/2019	06:00		47.631468	07.556662		0.19
TERMINATED - 401770	401770	1/13/2019	06:00		47.630832	07.556688		0.19
TERMINATED - 401770	401770	1/13/2019	07:00		47.632178	07.554082		0.19
 TERMINATED - 401773	401773	1/13/2019	07:00		47.632062	07.553720		0.93
TERMINATED - 401771	401771	1/13/2019	07:00		47.632292	07.553953		0.37
 TERMINATED - 401773	401773	1/13/2019	08:00		47.632512	07.553793		0.19
TERMINATED - 401771	401771	1/13/2019	08:00		47.632373	07.554363		0.19
TERMINATED - 401770	401770	1/13/2019	08:00		47.632752	07.554152		0
TERMINATED - 401771	401771	1/13/2019	09:00		47.632547	07.554108		0.74
 TERMINATED - 401773	401773	1/13/2019	09:00		47.632205	07.554200		0.93
TERMINATED - 401770	401770	1/13/2019	09:00		47.632318	07.554062		0.37
TERMINATED - 401771	401771	1/13/2019	10:00		47.632162	07.553775		0.93
TERMINATED - 401770	401770	1/13/2019	10:00		47.632718	07.553918		0.74
 TERMINATED - 401773	401773	1/13/2019	10:00		47.632348	07.553777		0.93
TERMINATED - 401770	401770	1/13/2019	11:00		47.632665	07.554100		0.56
TERMINATED - 401771	401771	1/13/2019	11:00		47.633268	07.552402		2.78
 TERMINATED - 401773	401773	1/13/2019	11:00		47.632615	07.554305		2.78
TERMINATED - 401771	401771	1/13/2019	12:00		47.632815	07.554983		1.11
 TERMINATED - 401773	401773	1/13/2019	12:00		47.632390	07.554908		1.11
TERMINATED - 401770	401770	1/13/2019	12:00		47.632295	07.555080		0.56
TERMINATED - 401771	401771	1/13/2019	13:00		47.632460	07.554413		0.56
 TERMINATED - 401773	401773	1/13/2019	13:00		47.632365	07.553558		0.19
TERMINATED - 401770	401770	1/13/2019	13:00		47.632845	07.554038		0
TERMINATED - 401770	401770	1/13/2019	14:00		47.632492	07.553940		0.56
TERMINATED - 401771	401771	1/13/2019	14:00		47.632810	07.554147		1.48
 TERMINATED - 401773	401773	1/13/2019	14:00		47.632333	07.553743		0.74
TERMINATED - 401770	401770	1/13/2019	15:00		47.631802	07.555750		0.19
 TERMINATED - 401773	401773	1/13/2019	15:00		47.632233	07.555233		0.37
TERMINATED - 401771	401771	1/13/2019	15:00		47.632080	07.555612		0.56
