Name	ID	Date	Time		Latitude	Longitude	Speed
Onissoi	401776	9/2/2020	12:00		47.629863	07.563050	1.3
TERMINATED - 401775	401775	9/2/2020	12:00		47.630040	07.562567	0.19
TERMINATED - 401707	401707	9/2/2020	12:00		47.629523	07.562742	1.3
Odissa	401777	9/2/2020	12:00		47.629742	07.562598	0.56
Odissa	401777	9/2/2020	13:00		47.630385	07.563025	0.37
Onissoi	401776	9/2/2020	13:00		47.629788	07.563273	0.56
TERMINATED - 401707	401707	9/2/2020	13:00		47.629898	07.563078	0.74
TERMINATED - 401775	401775	9/2/2020	13:00		47.629633	07.563060	0.37
Odissa	401777	9/2/2020	14:00		47.630217	07.562867	1.11
Onissoi	401776	9/2/2020	14:00		47.630142	07.562887	0.74
TERMINATED - 401707	401707	9/2/2020	14:00		47.630085	07.563152	0.93
TERMINATED - 401775	401775	9/2/2020	14:00		47.630443	07.562877	0.19
TERMINATED - 401775	401775	9/2/2020	15:00		47.630037	07.563002	0.19
Odissa	401777	9/2/2020	15:00		47.629852	07.562855	1.11
Onissoi	401776	9/2/2020	15:00		47.630018	07.562862	0.56
TERMINATED - 401707	401707	9/2/2020	15:01		47.629765	07.562343	0.37
TERMINATED - 401775	401775	9/2/2020	16:00		47.630160	07.561482	1.11
TERMINATED - 401707	401707	9/2/2020	16:00		47.630292	07.561810	1.11
Odissa	401777	9/2/2020	16:00		47.629520	07.562928	0.37
Onissoi	401776	9/2/2020	16:01		47.629642	07.562928	0.93
TERMINATED - 401775	401775	9/2/2020	17:00		47.629058	07.561325	0.19
Odissa	401777	9/2/2020	17:00		47.629113	07.562745	0.19
TERMINATED - 401707	401707	9/2/2020	17:00		47.629752	07.562520	0.56
Onissoi	401776	9/2/2020	17:00		47.629705	07.562683	1.48
TERMINATED - 401775	401775	9/2/2020	18:00		47.629763	07.562998	1.48
Odissa	401777	9/2/2020	18:00		47.629788	07.563010	0.37
TERMINATED - 401707	401707	9/2/2020	18:00		47.629518	07.562303	0
Onissoi	401776	9/2/2020	18:01		47.629950	07.562633	0.19
TERMINATED - 401775	401775	9/2/2020	19:00		47.629848	07.562875	0.74
Onissoi	401776	9/2/2020	19:00		47.629915	07.562632	0.19
Odissa	401777	9/2/2020	19:00		47.630145	07.562528	0.37
TERMINATED - 401707	401707	9/2/2020	19:00		47.629670	07.562963	0.19
Odissa	401777	9/2/2020	20:00		47.629732	07.556583	0.37
Onissoi	401776	9/2/2020	20:00		47.629950	07.556432	0.37
TERMINATED - 401775	401775	9/2/2020	20:00		47.629930	07.556687	0.56
TERMINATED - 401707	401707	9/2/2020	20:00		47.629835	07.556748	0.93
TERMINATED - 401707	401707	9/2/2020	21:00		47.629468	07.557665	0.19
Odissa	401777	9/2/2020	21:00		47.629380	07.557195	0.74
Onissoi	401776	9/2/2020	21:00		47.629325	07.557243	0.19
TERMINATED - 401775	401775	9/2/2020	21:00		47.628992	07.556952	0.74
Onissoi	401776	9/2/2020	22:00		47.628213	07.558558	0
Odissa	401777	9/2/2020	22:00		47.628260	07.558790	0.56
TERMINATED - 401707	401707	9/2/2020	22:00		47.629682	07.557953	0.56
TERMINATED - 401775	401775	9/2/2020	22:01		47.628197	07.558583	0.19
TERMINATED - 401775	401775	9/2/2020	23:00		47.628692	07.557487	1.11
Odissa	401777	9/2/2020	23:00		47.628823	07.557588	0.56
TERMINATED - 401707	401707	9/2/2020	23:00		47.629097	07.557533	0.37
Onissoi	401776	9/2/2020	23:00		47.628967	07.557058	0.37
Odissa	401777	9/3/2020	00:00		47.630815	07.558655	0.37
TERMINATED - 401707	401707	9/3/2020	00:00		47.630273	07.557132	0.19
Onissoi	401776	9/3/2020	00:00		47.630143	07.557910	0.37
TERMINATED - 401775	401775	9/3/2020	00:00		47.630895	07.556762	0.19
TERMINATED - 401707	401707	9/3/2020	01:00		47.630712	07.556940	0.19
Odissa	401777	9/3/2020	01:00		47.630995	07.556602	0.19
TERMINATED - 401775	401775	9/3/2020	01:00		47.630940	07.556770	0.19
Onissoi	401776	9/3/2020	01:00		47.630430	07.557365	0.37
Onissoi	401776	9/3/2020	02:00		47.630718	07.556638	0.19
TERMINATED - 401775	401775	9/3/2020	02:00		47.630868	07.556503	0.19
Odissa	401777	9/3/2020	02:00		47.630830	07.556545	0.37
TERMINATED - 401707	401707	9/3/2020	02:00		47.630690	07.556292	0.19
Onissoi	401776	9/3/2020	03:00		47.630790	07.556632	0.74
TERMINATED - 401707	401707	9/3/2020	03:00		47.630495	07.557098	0.19
TERMINATED - 401775	401775	9/3/2020	03:00		47.631070	07.557723	0.56
Odissa	401777	9/3/2020	03:00		47.631240	07.556935	0.19
Onissoi	401776	9/3/2020	04:00		47.630997	07.557335	0.93
TERMINATED - 401707	401707	9/3/2020	04:00		47.630557	07.557037	0
TERMINATED - 401775	401775	9/3/2020	04:00		47.631193	07.556923	0
Odissa	401777	9/3/2020	04:00		47.630988	07.557367	0
TERMINATED - 401775	401775	9/3/2020	05:00		47.630517	07.558407	0.56
Onissoi	401776	9/3/2020	05:00		47.630458	07.558480	0.56
Odissa	401777	9/3/2020	05:00		47.630335	07.558620	0.37
TERMINATED - 401707	401707	9/3/2020	05:00		47.630398	07.558208	0.37
Onissoi	401776	9/3/2020	06:00		47.630173	07.558023	0.19
TERMINATED - 401775	401775	9/3/2020	06:00		47.630193	07.558633	0.37
Onissoi	401776	9/3/2020	07:00		47.630128	07.558653	0
TERMINATED - 401775	401775	9/3/2020	07:00		47.630095	07.558945	0.56
TERMINATED - 401707	401707	9/3/2020	07:00		47.630213	07.558477	0.19
TERMINATED - 401707	401707	9/3/2020	08:00		47.628118	07.560212	0.56
TERMINATED - 401775	401775	9/3/2020	08:00		47.628453	07.559582	0
Onissoi	401776	9/3/2020	08:00		47.628345	07.559138	0.93
Odissa	401777	9/3/2020	08:01		47.628488	07.559155	0
Onissoi	401776	9/3/2020	09:00		47.628360	07.561367	0.19
TERMINATED - 401775	401775	9/3/2020	09:00		47.628712	07.561578	1.3
Odissa	401777	9/3/2020	09:00		47.628845	07.561978	0.93
