year	season	plot_nr	total_cover	cover_moss	height1_1	height1_2	height1_3	height1_4	height1_5	height1_6	height1_7	height1_8	height1_9	height1_10	height2_1	height2_2	height2_3	height2_4	height2_5	height2_6	height2_7	height2_8	height2_9	height2_10	species1	species2	species3	cover-sp1	cover-sp2	cover-sp3	cut_y_n	grazed_y_n
2020	summer	A77	80	15	7.5	0	8.5	31.5	13.5	15.0	26.5	2.0	0	4.0	37.0	0	7.0	47.5	0	14.0	0	0	0	4.0	Seculigera varia 	Erigeron annus 	Festuca ovina 	10	10	3	N	Y
2020	summer	A78	90	20	3.5	7.5	5.0	8.0	3.0	0	9.5	8.5	7.0	24.0	2.0	3.0	3.0	0	0	0	0	3.0	0	7.0	Festuca ovina	Erigeron annus	Rubus caesius 	30	15	30	N	N
2020	summer	A79	60	20	7.0	8.0	13.5	2.0	0	6.0	18.5	44.5	5.5	0	5.0	5.5	33.5	0	3.0	6.0	32.0	0	3.5	0	Festuca ovina	Echium vulgare 	Erigeron annus	20	10	7	N	N
2020	summer	A80	30	3	18.5	6.0	0	0	0	0	0	4.0	0	0	4.0	0	0	0	13.0	9.0	2.5	5.0	0	38.5	Medicago lupulina	Origanum vulgare	Carex sp	10	7	3	N	N
2021	summer	A01	95	0	6.5	11.5	10.5	10	9	2.5	0	7.5	4	0	5.5	1.5	8	3	8.5	3.5	5	21.5	22	0	Agrostis stolonifera 	Plantago lanceolata 	Seculigera varia	35	10	25	 N	Y
2021	summer	A02	95	10	7	3	10.5	7	24	37	10.5	24.5	3.5	4	9.5	7.5	2	39.5	7.5	42	7	33	1	4.5	Erigeron annuus 	Medicago lupulina 	Festuca ovina 	30	15	3	N	Y
2021	summer	A03	90	0	10.5	21	14.5	30.5	38	63	4.5	13	8.5	53.5	6.5	22	20	0	23.5	48	13.5	0.5	5	14	Festuca ovina 	Bromus erectus	Festuca pratensis	30	10	10	N	Y
2021	summer	A04	70	0	12	0	18.5	15	0	0	0.5	1	6	13	35	7.5	0	5	3.5	0.5	17	0	0	3	Vulpia myuros 	Erigeron annuus	Medicago lupulina 	5	15	20	N	Y
2021	summer	A05	95	10	3.5	17	8	10.5	5	17.5	32.5	6	7.5	45	8	18.5	8.5	12	10.5	4	0	17.5	5	3.5	Festuca ovina	Agrostis stolonifera 	Plantago lanceolata 	15	15	10	N	Y
2021	summer	A06	98	3	7	4.5	6.5	4	5	8.5	6	9	6	3	6.5	16	5	9.5	5	8	5.5	7	16	4	Agrostis stolonifera	Lotus corniculatus	Trifolium repens 	20	30	15	N	Y
2021	summer	A07	95	0	4.5	5	8	9	5.5	5.5	19.5	4.5	4.5	4	29.5	3.5	8.5	0	6.5	7	7	6	10.5	7	Medicago lupulina 	Festuca ovina 	Erigeron annuus 	50	20	7	N	Y
